"Nid","Title","Start Date","End Date"
"94","IASC Event on Philippines Typhoon Yolanda-Government-Humanitarian Cooperation","1403272800","1403267400"
"248","IASC Sub-Working Group on Gender and Humanitarian Action - CANCELLED","1362544200","1360146600"
"2060","IASC Weekly: Briefing on the Sahel and impact of the crisis in Mali","1360141200","1360140300"
"2120","NATF Meeting, 5 September 2012","1346850000","1346162400"
"2144","IASC Weekly (GVA) - Financing Preparedness","1340353800","1340350200"
"2158","Humanitarian Situation in Iraq and Arms Trade Treaty","1339151400","1339131600"
"2166","IASC Weekly (NY) - Google Crisis Response Tools","1338532200","1338512400"
"2178","IASC Weekly (NY) - Whistleblower and PSEA","1336127400","1336107600"
"2196","IASC Weekly (NY) - Risk Mapping","1333614600","1333607400"
"3894","CAP SWG meeting","1276174800","1275571800"
"4105","IASC Weekly meeting on Briefing on the ""Grenada Consensus"" on Sexual and Reproductive Health in Protracted Crises and Re","1256722200","1256718600"
"4250","IASC Weekly Meeting on DRC","1239784200","1239780600"
"4256","IASC Weekly Meeting on Debriefing on 73rd IASC WG Meeting","1239179400","1239175800"
"4532","HLWG briefing by Mr. Grandi, UN Assistant Secretary-General, and UNRWA’s Deputy-commissioner General","1202898600","1202896800"
"4561","Launch of the 2007 World Disasters Report","1197543600","1197500400"
"4565","CAP Launch 2008","1197277200","1197273600"
"4612","Briefing on the Western Sahara - Update on the Joint MINURSO/UNHCR's Briefing on Confidence Building Measures","1192438800","1192437900"
"4635","CAP SWG","1189638000","1189634400"
"4660","Information meeting on the flood situation in Pakistan","1186738200","1186696800"
"4681","IASC TF on HIV in Humanitarian Situations","1184108400","1184104800"
"4709","Information Management Working Group","1183071600","1183068000"
"4727","Tri-cluster meeting","1182243600","1182225600"
"4728","Health cluster meetings","1182157200","1182139200"
"4744","CADRI Launch","1181147400","1181080800"
"4768","PCWG Prep Meeting for Donor-Cluster Leads Workshop 22-23 May","1179756000","1179698400"
"4777","Cross-Cutting Issues Review Team","1178875800","1178834400"
"4870","Camp Coordination and Management Cluster Working Group","1175122800","1175119200"
"4929","Brainstorming of IASC Focal Points to prepare proposal for the IASC Retreat","1172674800","1172617200"
"4931","Launch of the Bolivia Flash Appeal","1172575800","1172530800"
"4940","Cluster Working Group on Camp Coordination and Management","1172156400","1172098800"
"4943","Debriefing on assessment mission to Central African  by CARE, NRC, and World Vision","1171985400","1171926000"
"4957","Briefing on the current situation of displacements in and from Iraq","1171535400","1171494000"
"4975","IASC Sub-Working Group on Preparedness and Contingency Planning (teleconference)","1170946800","1170889200"
"4985","Informal UNICEF briefing on Sierra Leone","1170842400","1170802800"
"4987","Meeting of the Gender Based Violence Group of the IASC SWG on Gender","1170689400","1170630000"
"4997","Emergency Shelter Cluster Working Group","1170201600","1170198000"
